Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C4, C7, C8, C9",0402,8,100n,C1525
"C3, C6",1206,2,10u,C13585
C5,1206,1,22u,C5672
"D1, D2",D_SOD-123F,2,SMF15CA,C19077510
"D3, D4",D_SOD-323,2,1N5819WS,C191023
J1,TerminalBlock_TE_1-282834-0_1x10_P2.54mm_Horizontal,1,Conn_01x10,C918128
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,C492404
K1,Relay_DPDT_Omron_G6K-2F-Y,1,G6K-2F-Y DC12,C397194
L1,L_Sunlord_SWPA3015S,1,2.2u,C43389
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002,C8545
"R1, R10, R11, R2",0402,4,470k,C25790
"R12, R4, R7, R8",0402,4,10k,C25744
"R3, R9",0402,2,100,C25076
R5,0402,1,562k,C173826
R6,0402,1,180k,C138046
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,C529355
U2,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias,1,DRV8801PWP,C41146
U3,MSOP-8_3x3mm_P0.65mm,1,TPS62160,C60726
