Designator,Mid X,Mid Y,Rotation,Layer
C1,165.25,-115.0,180.0,top
C10,133.35,-118.0,90.0,top
C11,139.5,-108.6,90.0,top
C2,165.25,-113.625,180.0,top
C3,160.075,-119.0,180.0,top
C4,164.275,-118.6,0.0,top
C5,137.6,-95.5,180.0,top
C6,133.1,-96.7,90.0,top
C7,145.55,-112.7,0.0,top
C8,144.45,-119.65,0.0,top
C9,133.35,-116.0,90.0,top
D1,149.9,-106.31,90.0,top
D2,139.35,-103.05,90.0,top
D3,157.0,-107.2,90.0,top
D4,159.7,-95.2,0.0,top
J1,179.4,-106.82,90.0,top
J2,127.8,-107.63,0.0,top
K1,163.8,-104.7,90.0,top
L1,142.6,-96.5,90.0,top
Q1,146.3625,-107.11,180.0,top
Q2,156.1,-103.2,180.0,top
Q3,135.85,-103.85,180.0,top
Q4,163.3,-96.1,270.0,top
R1,147.9,-105.41,270.0,top
R10,137.35,-102.15,270.0,top
R11,133.15,-103.85,270.0,top
R12,160.3,-97.0,180.0,top
R2,145.9,-104.35,0.0,top
R3,164.9,-110.3,180.0,top
R4,147.9,-108.81,90.0,top
R5,141.7,-99.3,270.0,top
R6,142.7,-99.3,90.0,top
R7,153.5,-103.1,270.0,top
R8,137.35,-105.55,90.0,top
R9,148.59,-101.1,180.0,top
U1,139.3,-115.5,180.0,top
U2,160.675,-114.8,270.0,top
U3,137.5,-98.5,270.0,top
